generation,rank_1,rank_2,swapAccepted
1421000,1,3,1
1422000,1,4,0
1423000,2,4,0
1424000,1,2,1
1425000,1,3,1
1426000,2,3,1
1427000,1,3,1
1428000,1,2,1
1429000,1,4,0
1430000,2,4,1
1431000,3,4,1
1432000,1,3,1
1433000,2,3,1
1434000,2,4,1
1435000,3,4,1
1436000,3,4,1
1437000,2,4,1
1438000,2,3,0
1439000,2,3,1
1440000,3,4,1
1441000,2,3,1
1442000,2,3,1
1443000,3,4,1
1444000,3,4,1
1445000,1,2,1
1446000,2,4,1
1447000,2,3,1
1448000,1,4,1
1449000,3,4,0
1450000,3,4,1
1451000,1,2,1
1452000,1,2,1
1453000,1,2,1
1454000,1,3,0
1455000,2,3,1
1456000,2,3,1
1457000,3,4,1
1458000,2,3,1
1459000,1,4,0
1460000,3,4,1
1461000,1,4,0
1462000,1,3,0
1463000,2,4,1
1464000,3,4,1
1465000,1,4,0
1466000,3,4,1
1467000,2,4,1
1468000,2,4,0
1469000,2,4,1
1470000,3,4,1
1471000,2,3,1
1472000,2,3,0
1473000,1,2,1
1474000,3,4,1
1475000,2,3,1
1476000,1,2,0
1477000,1,2,0
1478000,2,4,1
1479000,2,3,1
1480000,2,4,0
1481000,2,3,0
1482000,1,2,0
1483000,1,2,1
1484000,1,4,0
1485000,2,4,0
